日期,strategy,benchmark,excess_return,rebalance
2020-01-02,1.0,1.0,0.0,False
2020-01-03,0.9969633559015757,1.0008767846898239,-0.0039134287882481855,False
2020-01-06,1.000576254393281,1.0025654070554106,-0.001989152662129623,False
2020-01-07,1.0006935759469007,1.002684476581189,-0.0019909006342884172,False
2020-01-08,1.00263908516348,1.0036586817921047,-0.0010195966286246083,False
2020-01-09,1.0052309621001176,1.002251496487449,0.002979465612668708,False
2020-01-10,1.0035265372974196,1.0028306073628266,0.0006959299345929981,False
2020-01-13,1.0074042896768787,1.0039617678577226,0.0034425218191560525,False
2020-01-14,1.0012173964843867,1.0030092116514944,-0.001791815167107691,False
2020-01-15,1.0001368538012136,1.0032906487124253,-0.0031537949112117047,False
2020-01-16,1.0048032506537512,1.003474665252265,0.0013285854014861709,False
2020-01-17,1.0090998331208254,1.0037777513178832,0.005322081802942247,False
2020-01-20,1.0053810700752381,1.0050009200826993,0.0003801499925388807,False
2020-01-21,0.999984815141501,1.005504259441672,-0.00551944430017115,False
2020-01-22,1.0032682682918614,1.0057748720002597,-0.0025066037083982806,False
2020-01-23,1.0008283455431013,1.0053689531623782,-0.004540607619276882,False
2020-02-03,0.9878539358731356,1.0099585421560242,-0.022104606282888573,False
2020-02-04,1.0049789307715595,1.0102832772263295,-0.005304346454769959,False
2020-02-05,1.010051304050084,1.0103969345009363,-0.0003456304508522301,False
2020-02-06,1.0182511845939763,1.011013931134516,0.007237253459460247,False
2020-02-07,1.0136879779525798,1.012150503880584,0.0015374740719957813,False
2020-02-10,1.0173482064398855,1.0136009871946137,0.003747219245271882,False
2020-02-11,1.0214091575560114,1.0140610285442127,0.00734812901179871,False
2020-02-12,1.0253722679977557,1.0144182371215482,0.010954030876207499,False
2020-02-13,1.0252272105262354,1.0148025069547426,0.010424703571492833,False
2020-02-14,1.026987251410251,1.015387030081292,0.011600221328958993,False
2020-02-17,1.0288104919995018,1.0169511706699284,0.011859321329573458,False
2020-02-18,1.0251776329191353,1.0174274487730426,0.007750184146092742,False
2020-02-19,1.0339473071176033,1.0179524371367026,0.015994869980900717,False
2020-02-20,1.0299559038360413,1.0190078261151942,0.01094807772084705,False
2020-02-21,1.0261569259488734,1.0209887100440558,0.005168215904817641,False
2020-02-24,1.0050407250023314,1.02338092506197,-0.018340200059638656,False
2020-02-25,0.9871983957461888,1.0225474383815203,-0.03534904263533145,False
2020-02-26,0.9860559514484182,1.0223525973393373,-0.03629664589091908,False
2020-02-27,0.9633477539363247,1.023191496270959,-0.0598437423346343,False
2020-02-28,0.948310694827102,1.0214379268913112,-0.07312723206420924,False
2020-03-02,0.9628248136200653,1.0223850708463678,-0.05956025722630243,False
2020-03-03,0.9519819120333415,1.0226773324096423,-0.07069542037630083,False
2020-03-04,0.9731600495636856,1.0251507311951333,-0.05199068163144771,False
2020-03-05,0.9607756328149692,1.0267689942954872,-0.06599336148051793,False
2020-03-06,0.947879302679158,1.0281870041024863,-0.08030770142332833,False
2020-03-09,0.9018693365053205,1.0284900901681044,-0.1266207536627839,False
2020-03-10,0.9187553636761446,1.0286362209497417,-0.10988085727359709,False
2020-03-11,0.9029917798862714,1.0275700074689065,-0.12457822758263504,False
2020-03-12,0.8499789398711659,1.0258543238474611,-0.1758753839762952,False
2020-03-13,0.8781095812540015,1.023056189991665,-0.14494660873766352,False
2020-03-16,0.8188894325786319,1.0181581026812292,-0.1992686701025973,False
2020-03-17,0.8360989999537229,1.014905339727006,-0.17880633977328309,False
2020-03-18,0.8134377415549038,1.0142396328328804,-0.20080189127797665,False
2020-03-19,0.8149603386253419,1.0134332074082895,-0.19847286878294756,False
2020-03-20,0.8174545420083523,1.0149215764805213,-0.19746703447216896,False
2020-03-23,0.8022529231423241,1.014142212311789,-0.2118892891694648,False
2020-03-24,0.8612816663716936,1.019408332701904,-0.15812666633021033,False
2020-03-25,0.870928748537933,1.0215732331706049,-0.15064448463267188,False
2020-03-26,0.8905623520342788,1.0217139517010705,-0.13115159966679169,False
2020-03-27,0.8744517972396965,1.0232943290432222,-0.1488425318035257,False
2020-03-30,0.8881821364428698,1.0220603357760627,-0.1338781993331929,False
2020-03-31,0.8911402673065887,1.022996655228776,-0.13185638792218723,False
2020-04-01,0.8627733186554429,1.0228342876936232,-0.16006096903818023,False
2020-04-02,0.8729053462441634,1.0245553835662404,-0.15165003732207705,False
2020-04-03,0.8675373531926894,1.0245716203197557,-0.15703426712706625,False
2020-04-07,0.9134839716958771,1.0324356212723118,-0.11895164957643467,False
2020-04-08,0.9173347174229548,1.0332799324551054,-0.1159452150321506,False
2020-04-09,0.9263985604712378,1.035141746858188,-0.10874318638695024,False
2020-04-10,0.9275997117908124,1.0347791260296808,-0.10717941423886845,False
2020-04-13,0.9271248198606125,1.0342054274054748,-0.10708060754486237,False
2020-04-14,0.9460798474894598,1.0363053808601148,-0.09022553337065498,False
2020-04-15,0.9302358468324013,1.0367112996979964,-0.10647545286559501,False
2020-04-16,0.9378925840216644,1.0383512118030374,-0.10045862778137293,False
2020-04-17,0.9480849351655016,1.0383403873006938,-0.09025545213519215,False
2020-04-20,0.942326356045864,1.0382592035331175,-0.0959328474872535,False
2020-04-21,0.9222561495211851,1.038118485002652,-0.11586233548146685,False
2020-04-22,0.9360254697912701,1.039541907060823,-0.10351643726955284,False
2020-04-23,0.9397349062001917,1.0415660889990583,-0.1018311827988666,False
2020-04-24,0.940817823120649,1.0431789398482405,-0.10236111672759152,False
2020-04-27,0.9528334862177851,1.0433575441369083,-0.09052405791912321,False
2020-04-28,0.951543895886706,1.043384605392767,-0.09184070950606094,False
2020-04-29,0.9691581609206078,1.0443804596083694,-0.07522229868776165,False
2020-04-30,0.9646425117432582,1.0461502657415325,-0.08150775399827426,False
2020-05-06,0.9522360790866096,1.0466481928493336,-0.09441211376272407,False
2020-05-07,0.959396633710363,1.0443750473571978,-0.08497841364683478,False
2020-05-08,0.9707410768583742,1.0444237576177435,-0.07368268075936935,False
2020-05-11,0.9724344650511545,1.043097756080664,-0.07066329102950952,False
2020-05-12,0.962941168839708,1.0412034681705509,-0.07826229933084283,False
2020-05-13,0.9527231399094857,1.0411818191658637,-0.08845867925637807,False
2020-05-14,0.9519897773130345,1.0408408473420434,-0.08885107002900894,False
2020-05-15,0.9581306774888799,1.0420153058463137,-0.08388462835743382,False
2020-05-18,0.984749577689179,1.043406254397454,-0.05865667670827501,False
2020-05-19,0.9834299802495633,1.0420207180974854,-0.058590737847922125,False
2020-05-20,0.996285502494165,1.0419287098275656,-0.04564320733340055,False
2020-05-21,0.9862874635493019,1.0406460062998604,-0.054358542750558514,False
2020-05-22,0.9771774251323793,1.0401751404479178,-0.06299771531553855,False
2020-05-25,0.9837628238964532,1.0402509119643224,-0.0564880880678692,False
2020-05-26,0.9933333867570469,1.03999653615925,-0.046663149402203175,False
2020-05-27,0.996564267650732,1.0369873245077557,-0.04042305685702363,False
2020-05-28,1.0003556609026139,1.0369981490100992,-0.03664248810748538,False
2020-05-29,1.0005534100712394,1.0371659287964234,-0.03661251872518401,False
2020-06-01,1.011396635702914,1.0393795395256702,-0.027982903822756144,False
2020-06-02,1.0217977224860446,1.036916965242523,-0.015119242756478357,False
2020-06-03,1.0337388434364645,1.0323544375047358,0.0013844059317287272,False
2020-06-04,1.0295473589397335,1.031277399521557,-0.0017300405818234665,False
2020-06-05,1.050075525787027,1.0299838714915082,0.020091654295518735,False
2020-06-08,1.0502128299193985,1.0285550371821655,0.021657792737233006,False
2020-06-09,1.0472908205544629,1.0293993483649588,0.017891472189504043,False
